Acura | ILX, RLX, TLX, MDX
Audi | A3, A4, A6, A8, Q3, Q5
Bentley | Arnage, Azure, Continental, Mulsanne, R-Type
BMW | 1-Series, 2-Series, 3-Series, 4-Series, 5-Series, 6-Series, M-Series, X-Series, Z3, Z4, Z8
Buick | Enclave, LaCrosse, Lucerne, Regal, Verano
Cadillac | ATS, ATS-V, CTS, CTS-V, Eldorado, Escalade, STS, STS-V
Chevrolet | Cobalt, Corvette, Lumina, Malibu, Suburban, Tahoe, Volt
Chrysler | 200, 300, Pacifica, Prowler, PT Cruiser, Sebring, Town & Country, Voyager
Dodge | Avenger, Caravan, Daytone, Durango, Grand Caravan, Neon, Viper
Ferrari | Modeno, Spider, GT, Italia, Barchetta, Mondial, Superamerica, Testarossa
Ford | Edge, Escape, Escort, Escape, Explorer, Flex, Focus, Fusion, GT, Mustang, Shelby, Taurus
Honda | Accord, Civic, Odyssey, Element, CR-V, Pilot
Hummer | H1, H2, H3
Hyundai | Elantra, Sonata, Accent, Genesis, Santa Fe, Tucson
Infiniti | EX35, EX37, FX35, FX37, FX45, FX50, G20, G25, G35, I30, I35, M35, Q40, Q45, Q50, QX30, QX50, QX60, QX80
Jaguar | X-Type, XE, XF, XJ, XJ6, XJ8, XJR, XJR-S
Jeep | Cherokee, Commander, Compass, Patriot, Renegade, Wrangler
Kia | Amanti, Forte, Optima, Rio, Sedone, Sorento, Stinger
Lamborghini | Aventador, Diablo, Gallardo, Huracan, Murcielago
Land Rover | Defender, Discovery, Freelander, LR2, LR3, LR4, Range Rover
Lexus | ES, GS, GX, CT 200h, KS, KX, NX, RX, SC
Lincoln | Aviator, Continental, LS, Navigator, Town Car
Lotus  | Elan, Elise, Espirit, Evora, Exige
Maserati | Quattroporte, Spyder, Ghibli, Gransport, GranTurismo, Levante
Mayback | Landaulet, Type 57, Type 62
Mazda | 323, CX-3, CX-5, Mazda2, Mazda3, Mazda5, Mazda6, Protégé, RX-7, RX-8
Mercedes-Benz | C-Class, E-Class, GLA, GLC, S-Class
MINI | Clubman, Cooper, Countryman, Paceman, Roadster
Mitsubishi | Eclipse, Montero, Outlander, Lancer, Lancer Evolution, Mirage
Nissan | Altima, Maxima, Leaf, Rogue, Xterra, Versa, Pathfinder, Murano
Porsche | 911, 928, Boxter, Carrera, Cayenne, Cayman, Macan, Panamera
Rolls-Royce | Corniche, Dawn, Ghost, Phantom, Silver Dawn
Subaru | Crosstrek, Forester, Impreza, Legacy, Outback, Tribeca, WRX
Tesla | Model 3, Model S, Model X, Roadster
Toyota | Corolla, Camry, Sienna, Avalon, Highlander, Land Cruiser, Matrix, RAV4
Volkswagen | Beetle, Eos, Golf, GTI, Jetta, Passat, Touareg
Volvo | 240, 740, 850, 940, 960, C30, C70, S40, S60, S70, S80, S90, V40, V50, XC40, XC60